order_id,merchant_id,confirm_time,true_kpt,rider_arrival_time,restaurent_load,for_time,order_time,zomato_baseline,sensor_kpt
67,6,19257.28,795.74,19683.43,2,20147.89,319.36,1224.18,807.75
68,42,67599.08,1517.64,68022.65,2,69143.73,1123.88,1199.29,1520.19
69,4,17477.79,1039.02,17994.36,2,18519.25,289.69,1206.64,1062.90
70,29,7063.15,795.22,7718.36,3,7811.20,115.29,1212.03,812.07
71,18,41126.20,1263.95,41562.50,6,42421.72,683.21,1204.49,1293.03
72,26,972.60,1271.57,1373.31,1,2299.61,14.36,1223.49,1287.42
73,44,7412.48,1186.12,8038.92,4,8640.43,122.06,1197.90,-1.00
74,34,69883.16,880.67,70364.37,4,70845.40,1162.98,1231.68,893.01
75,10,66786.35,1282.57,67258.36,4,68059.32,1110.92,1271.32,1306.21
76,36,79170.08,1074.90,79753.88,3,80194.24,1317.80,1217.08,1085.50
77,14,73915.92,1508.24,74292.30,9,75648.48,1230.50,1223.04,1508.35
78,31,59100.34,983.67,59514.30,3,60065.61,983.77,1254.33,1000.06
79,48,4687.13,879.17,5155.78,1,5539.17,75.36,1221.13,889.82
80,15,67750.96,843.24,68422.17,1,68651.04,1127.30,1236.04,845.00
81,8,73187.16,1327.75,73431.80,7,74731.01,1217.54,1229.21,1338.44
82,14,69159.55,1535.86,69655.06,8,70969.36,1150.68,1223.04,1563.96
83,23,44097.30,1433.58,44479.34,0,45609.86,732.21,1262.18,1457.35
84,40,20248.35,624.31,20535.35,3,20894.13,335.38,1223.21,627.21
85,21,73154.20,1076.69,73553.31,6,74226.60,1217.28,1229.07,1090.51
86,16,62997.82,1387.28,63477.42,5,64500.96,1047.11,1244.70,1390.86
87,45,84884.13,1174.43,85367.79,2,86120.06,1412.30,1237.68,-1.00
88,18,13525.23,1104.96,13929.84,4,14748.28,224.20,1204.49,1123.23
89,47,19578.74,918.83,20126.10,3,20542.23,324.96,1239.46,919.12
90,24,18453.81,1207.43,18724.03,1,19643.42,304.99,1273.36,1226.34
91,26,68635.74,1009.75,69053.99,4,69706.53,1141.26,1223.49,1015.99
92,25,16274.21,1061.58,16851.25,2,17438.87,269.15,1205.71,1089.15
93,45,5885.94,1101.25,6438.64,3,7041.60,95.99,1237.68,1102.28
94,41,86411.49,1146.79,87149.43,7,87762.19,1437.93,1199.85,1146.96
95,29,2256.90,1116.13,2826.53,2,3352.81,35.74,1212.03,1133.18
96,15,72306.71,1456.07,72624.16,7,74012.06,1202.75,1236.04,1459.05
97,45,31640.71,1221.59,32240.56,2,32858.72,526.13,1237.68,1233.15
98,1,72890.93,1420.24,73315.65,4,74329.46,1211.93,1229.10,1436.90
99,25,48069.23,1082.75,48731.73,7,49392.63,798.65,1205.71,1099.79
100,7,78036.68,1466.88,78668.24,5,79531.19,1298.35,1210.21,1483.40
101,9,80121.03,1069.14,80427.25,0,81231.54,1333.72,1209.60,1079.36
102,24,865.40,1438.70,1378.37,1,2282.14,13.10,1273.36,1461.59
103,1,6624.73,1086.10,7074.18,3,7798.33,108.59,1229.10,1100.70
104,44,21770.38,645.04,22212.42,4,22382.71,360.52,1197.90,670.71
105,8,57964.90,1069.03,58657.09,3,59005.10,963.81,1229.21,1071.75
106,24,76852.63,1573.06,77347.42,7,78556.25,1279.11,1273.36,1580.57
107,11,39872.58,1398.02,40465.62,6,41337.94,662.32,1250.04,1399.86
108,17,52600.13,1454.53,53157.89,3,54162.44,874.04,1259.72,1463.15
109,8,16349.54,805.36,16804.09,3,17107.56,271.44,1229.21,832.03
110,35,69663.21,1169.44,70170.09,4,70804.56,1159.15,1275.43,1196.79
111,35,83728.18,948.64,84013.82,4,84683.94,1392.95,1275.43,973.52
112,33,23332.49,732.84,23756.56,2,24056.24,386.78,1210.49,744.92
113,5,42891.14,1008.49,43358.73,1,43953.07,712.55,1243.78,1029.80
114,42,7562.43,365.90,8026.58,3,7875.54,124.01,1199.29,392.37
115,39,48488.43,1517.05,48947.51,12,50230.40,805.16,1229.33,1546.36
116,41,43507.04,1500.47,43908.32,5,45046.84,724.01,1199.85,1508.55
117,28,12598.24,1276.95,13051.66,4,13822.64,207.99,1238.69,1299.61
118,7,38265.49,2248.10,38567.75,2,40521.21,636.58,1210.21,2251.58
119,9,28945.82,1250.30,29658.53,2,30301.89,481.11,1209.60,1250.38
120,8,45192.15,1432.78,45515.18,7,46779.63,751.44,1229.21,1460.37
121,12,50679.20,1619.94,51115.99,7,52586.47,843.34,1166.39,1640.15
122,34,909.66,1077.17,1462.39,1,2058.36,12.23,1231.68,1106.36
123,33,65924.53,1445.99,66559.94,1,67357.17,1095.85,1210.49,1466.70
124,48,61704.77,895.93,62343.31,2,62542.23,1026.74,1221.13,906.50
125,23,31783.91,1083.33,32286.31,3,32883.35,527.45,1262.18,1104.52
126,24,4697.72,1128.58,5065.07,3,5874.14,76.23,1273.36,1152.29
127,37,65384.04,970.90,66028.91,5,66314.36,1087.10,1252.55,972.14
128,35,82662.43,1178.76,83126.54,3,83792.61,1375.45,1275.43,1203.57
129,44,20809.13,978.69,21124.18,0,21735.84,345.82,1197.90,992.33
130,40,28104.11,1165.57,28580.37,5,29346.06,465.88,1223.21,1173.51
131,22,16031.06,1154.63,16471.76,1,17264.21,264.69,1222.09,1169.40
132,27,49968.45,1627.54,50351.69,9,51835.76,830.79,1274.00,1627.88
133,35,13546.65,886.90,14048.87,4,14502.65,222.97,1275.43,893.86
134,1,30944.17,1002.14,31171.22,3,31948.81,512.92,1229.10,1019.15
135,35,60344.79,1393.83,60642.75,8,61880.11,1003.70,1275.43,1398.31
136,37,48526.98,1523.99,49015.34,10,50195.40,806.57,1252.55,1550.19
137,47,33569.95,791.84,33974.91,6,34358.42,556.51,1239.46,821.42
138,14,36405.42,1687.80,36868.40,2,38100.62,605.16,1223.04,1692.21
139,3,48665.33,1501.04,49342.36,9,50449.80,809.44,1201.25,1522.49
140,1,588.65,1538.53,1079.56,6,2135.01,8.45,1229.10,1561.27
141,5,6950.76,994.85,7245.93,2,7964.10,113.05,1243.78,1006.66
142,26,76290.04,1871.40,76870.02,11,78358.82,1269.01,1223.49,1893.67
143,14,6801.42,930.39,7256.76,4,7802.94,112.15,1223.04,959.42
144,39,61245.64,2346.89,61897.94,5,63537.81,1017.80,1229.33,2369.62
145,27,79639.01,1273.36,80138.99,3,80932.86,1324.85,1274.00,1297.78
146,9,23549.13,975.92,24110.23,1,24621.44,389.78,1209.60,994.01
147,15,32076.24,949.08,32649.85,1,33122.39,533.51,1236.04,975.35
148,15,49275.40,1500.62,49714.64,9,51029.14,819.25,1236.04,1527.82
149,26,76323.49,1079.91,76629.87,5,77415.63,1269.66,1223.49,1087.37
150,42,81505.80,1025.90,82171.78,2,82516.89,1356.34,1199.29,1030.25
151,13,64038.26,1092.73,64606.14,3,65087.39,1064.97,1223.93,1104.78
152,32,7642.09,1080.95,8174.32,2,8749.72,124.73,1190.19,1090.54
153,39,57919.84,1213.15,58316.04,3,59227.16,963.58,1229.33,1227.68
154,49,35612.08,1143.52,35962.29,4,36758.33,590.84,1228.05,1156.61
155,32,40748.12,961.79,41194.11,2,41742.34,677.81,1190.19,967.12
156,4,4338.93,891.60,4960.32,0,5229.60,70.77,1206.64,907.44
157,30,16572.97,1012.94,17159.26,0,17598.41,275.13,1177.83,1023.40
158,37,68404.11,863.67,68665.11,1,69232.99,1138.34,1252.55,890.00
159,23,39327.63,864.40,39902.92,2,40256.88,653.70,1262.18,890.56
160,39,26220.25,942.96,26550.77,1,27112.08,434.39,1229.33,957.40
161,45,33317.62,709.85,33786.97,1,34142.83,552.99,1237.68,714.51
162,15,73932.52,1211.48,74379.46,5,75153.14,1230.34,1236.04,1236.03
163,43,64851.77,975.05,65677.66,3,65815.68,1078.56,1249.83,979.48
164,29,23594.38,791.07,23878.93,3,24431.62,392.13,1212.03,802.33
165,36,10233.79,849.68,10596.55,1,11185.96,169.20,1217.08,859.18
166,13,21907.88,900.26,22130.33,2,22907.23,362.88,1223.93,916.07
167,32,79690.32,1227.88,80232.26,2,81024.73,1325.89,1190.19,1253.22
168,7,50402.17,1029.96,51095.82,4,51389.09,837.49,1210.21,1032.16
169,22,46201.05,1708.45,46810.04,7,48070.29,768.21,1222.09,1715.01
170,28,51675.11,1641.81,51944.64,4,53270.13,858.81,1238.69,1650.81
171,2,31766.92,909.00,32267.19,1,32632.66,527.08,1225.11,938.97
172,42,69909.65,1219.49,70513.47,7,71283.00,1162.23,1199.29,1228.97
173,45,45297.75,1784.01,45739.34,9,47223.41,753.53,1237.68,1812.27
174,6,10213.22,1051.24,10549.64,4,11264.21,168.12,1224.18,1055.37
175,28,11283.44,1037.51,11873.09,3,12334.49,185.85,1238.69,1044.08
176,28,46564.47,1389.01,47084.22,9,48134.52,773.08,1238.69,1394.77
177,44,81003.81,794.83,81651.46,0,81812.14,1348.66,1197.90,801.24
178,44,26764.41,1188.32,27340.64,3,28048.94,444.03,1197.90,1200.69
179,20,75229.90,1511.30,76104.24,9,77010.20,1252.14,1228.61,1519.00
180,30,66140.97,1176.19,66738.91,2,67430.43,1100.30,1177.83,1194.91
181,11,21498.85,1810.44,21948.36,3,23391.05,356.85,1250.04,1818.69
182,28,3205.55,1081.72,3514.30,1,4378.82,52.33,1238.69,1100.35
183,25,8928.31,985.95,9327.13,3,9979.16,146.66,1205.71,988.37
184,39,63042.18,1149.73,63515.34,5,64163.29,1049.03,1229.33,1154.08
185,33,17333.30,1004.91,17860.60,2,18446.79,287.52,1210.49,1020.56
186,1,32176.68,934.62,32786.91,3,33088.96,534.63,1229.10,949.02
187,27,43412.72,1279.00,43686.08,3,44753.68,722.45,1274.00,1307.99
188,13,62854.50,830.21,63517.43,2,63666.07,1044.67,1223.93,858.68
189,41,9912.92,946.93,10331.01,0,10815.99,163.05,1199.85,-1.00
190,3,35267.83,1150.09,35641.85,5,36393.22,585.17,1201.25,1175.02
191,39,42021.07,1314.14,42722.73,3,43316.99,698.50,1229.33,1314.58
192,6,46895.86,1284.75,47203.71,3,48189.10,778.79,1224.18,1309.45
193,8,70824.36,1167.08,71154.86,8,72123.90,1178.44,1229.21,1180.94
194,27,14961.87,1247.41,15336.47,3,16254.71,247.22,1274.00,1268.77
195,9,69915.65,1241.81,70367.04,6,71241.26,1163.28,1209.60,1257.19
196,37,60012.69,1069.43,60650.56,5,61159.73,997.74,1252.55,1095.10
197,33,48155.24,1750.76,48776.20,5,49996.73,800.45,1210.49,1766.28
198,42,60531.80,1219.14,61160.33,2,61867.24,1007.32,1199.29,1227.75
199,44,35675.80,1054.12,36149.80,3,36849.17,593.31,1197.90,1082.09
200,24,12090.29,1261.15,12556.11,4,13365.32,199.29,1273.36,1265.74
201,15,57640.82,1205.29,58151.18,4,58876.49,958.70,1236.04,1219.75
202,32,45403.20,1825.82,45935.68,6,47258.70,755.53,1190.19,1829.56
203,32,55349.46,929.25,55850.73,1,56334.27,920.70,1190.19,932.26
204,24,29324.87,1407.57,29899.38,6,30716.66,486.72,1273.36,1409.35
205,41,78512.50,1177.43,79051.36,6,79768.99,1305.89,1199.85,1185.88
206,49,50817.89,1198.90,51320.06,5,51979.59,845.81,1228.05,1221.81
207,49,7480.59,1058.52,7891.80,5,8650.33,122.98,1228.05,1079.60
208,12,39021.78,1215.51,39616.06,1,40199.74,647.72,1166.39,1240.16
209,39,65486.97,1260.49,65902.25,3,66821.15,1089.15,1229.33,1269.43
210,2,68708.02,1374.94,69202.64,7,70274.46,1143.55,1225.11,1389.41
211,3,42894.63,973.66,43268.04,3,43922.38,712.22,1201.25,992.57
212,49,77425.39,855.34,77808.93,4,78277.30,1288.44,1228.05,865.53
213,37,23246.36,1657.81,23528.67,6,24865.70,385.44,1252.55,1667.90
214,49,35652.92,880.01,36043.60,3,36641.78,591.26,1228.05,886.49
215,17,77812.43,1834.70,78273.07,9,79858.94,1293.98,1259.72,1850.34
216,49,77539.60,1478.43,77976.88,7,79192.13,1290.61,1228.05,1506.09
217,2,59322.45,562.23,59923.58,1,59937.10,987.43,1225.11,564.71
218,2,74315.00,1698.87,74732.77,7,76180.30,1236.93,1225.11,1728.00
219,28,7733.67,1746.28,8245.70,3,9427.23,127.83,1238.69,1773.17
220,23,74798.06,1684.88,75305.38,8,76745.80,1245.59,1262.18,1696.63
221,37,27809.02,1179.71,28263.41,4,29107.98,461.69,1252.55,1180.70
222,32,15580.77,988.95,16029.10,3,16681.87,256.80,1190.19,989.72
223,33,20846.12,1311.08,21369.68,3,22255.55,344.69,1210.49,1339.70
224,1,36233.85,2011.35,36581.09,4,38319.74,601.87,1229.10,-1.00
225,19,21830.82,1509.37,22411.59,3,23309.33,361.72,1231.84,1530.18
226,2,27757.75,1271.74,28164.69,2,28997.54,461.62,1225.11,1281.13
227,44,11748.00,966.75,12280.89,3,12681.69,194.37,1197.90,992.39
228,26,25652.65,2176.26,26129.01,3,27851.63,426.49,1223.49,2181.92
229,32,49595.87,1206.43,50244.82,6,50827.98,824.09,1190.19,1227.43
230,6,38253.64,1204.15,38766.13,3,39501.76,636.27,1224.18,1208.31
231,32,30120.79,772.70,30799.99,4,30874.30,499.28,1190.19,801.22
232,4,64630.66,997.97,65139.93,7,65755.78,1074.89,1206.64,1024.45
233,11,77286.79,1634.70,77822.83,8,79059.63,1286.65,1250.04,1660.74
234,17,65465.52,938.77,65831.80,3,66356.77,1089.78,1259.72,968.64
235,38,28820.18,844.01,29372.55,4,29746.90,478.08,1246.01,850.99
236,24,64487.90,1114.61,65064.38,4,65566.75,1072.00,1273.36,1142.07
237,5,13277.29,1531.10,13625.98,2,14883.47,218.85,1243.78,1551.90
238,34,11361.30,552.95,11691.81,3,11873.53,187.66,1231.68,577.33
239,6,29992.66,1764.59,30705.16,3,31786.50,497.70,1224.18,1776.77
240,22,69882.78,1163.56,70383.35,3,71038.15,1163.09,1222.09,1186.57
241,11,21464.39,906.12,21987.77,2,22427.77,354.74,1250.04,927.52
242,48,5614.96,1371.21,6247.53,2,6952.44,91.08,1221.13,1393.43
243,16,11513.43,1597.82,11987.92,4,13157.20,189.66,1244.70,1607.99
244,33,74306.36,810.87,74690.72,5,75160.11,1236.59,1210.49,-1.00
245,9,54893.05,796.76,55317.82,3,55702.35,912.65,1209.60,823.24
246,6,21977.57,1156.09,22566.18,2,23160.51,364.61,1224.18,1168.37
247,16,48041.02,1077.64,48346.48,5,49085.12,799.63,1244.70,1101.82
248,29,45690.29,1384.99,46171.82,5,47161.17,759.71,1212.03,1405.84
249,3,56801.33,1026.13,57223.20,2,57876.31,943.83,1201.25,1031.63
250,20,20282.56,773.94,20825.67,5,21018.00,335.79,1228.61,779.13
251,36,74754.49,1523.98,75325.77,5,76383.63,1244.74,1217.08,1546.64
252,19,26895.64,1034.76,27534.48,3,27982.48,445.49,1231.84,1064.41
253,26,60065.24,1130.38,60561.92,3,61166.64,999.55,1223.49,1158.18
254,3,1482.42,1711.08,2042.88,4,3173.85,23.22,1201.25,1717.06
255,19,32293.23,1077.81,32635.74,3,33347.78,536.63,1231.84,1086.55
256,20,30516.99,904.69,30905.39,4,31402.24,506.46,1228.61,931.69
257,32,47082.42,1915.01,47719.35,5,48975.18,782.62,1190.19,1941.58
258,7,6403.38,308.14,6757.28,3,6785.80,104.74,1210.21,312.21
259,41,68413.46,845.45,69169.24,3,69305.35,1137.79,1199.85,849.24
260,33,18914.25,1033.86,19337.98,1,19930.11,313.60,1210.49,1041.89
261,40,58649.91,1125.19,59134.64,3,59882.85,974.93,1223.21,1148.51
262,39,69478.57,1305.90,70016.41,3,70726.55,1156.63,1229.33,1329.88
263,18,48700.08,1412.23,49065.42,3,50175.72,809.10,1204.49,1425.17
264,40,64151.97,1458.55,64687.05,4,65648.33,1066.87,1223.21,1479.08
265,1,57326.72,1272.04,57927.85,2,58634.42,953.08,1229.10,1277.34
266,11,30835.56,1314.56,31247.09,4,32189.36,511.96,1250.04,1317.80
267,28,70025.42,1531.32,70415.95,6,71584.33,1164.76,1238.69,1557.98
268,25,25531.77,1022.24,26148.69,3,26664.38,424.37,1205.71,1043.30
269,50,49514.98,1286.46,49878.88,6,50852.82,822.55,1203.29,1307.09
270,23,64469.03,1199.84,64866.53,3,65691.56,1073.37,1262.18,1202.84
271,31,32819.64,723.95,33418.60,1,33638.40,545.70,1254.33,747.35
272,30,26288.34,821.42,26857.05,1,27209.89,435.99,1177.83,831.75
273,42,39836.22,1515.22,40454.24,4,41430.84,661.46,1199.29,1542.13
274,35,70741.20,1490.99,71098.77,8,72455.47,1177.87,1275.43,1503.56
275,7,80515.73,955.59,80876.33,1,81419.01,1339.09,1210.21,961.14
276,16,47272.04,1720.16,47793.81,10,49276.02,784.92,1244.70,1729.74
277,26,57283.39,1143.95,57827.00,3,58514.51,952.51,1223.49,1145.14
278,48,78160.59,1575.04,78663.55,5,79843.67,1300.71,1221.13,-1.00
279,49,8663.42,1253.75,9273.35,1,9881.38,141.91,1228.05,1270.29
280,2,20150.99,855.37,20631.32,6,21119.36,334.19,1225.11,874.75
281,1,61368.15,1274.52,61862.99,1,62756.49,1020.82,1229.10,1277.24
282,48,71341.46,1320.71,71972.92,9,72863.78,1186.19,1221.13,1335.22
283,12,74221.99,2128.63,74602.18,7,76484.00,1234.12,1166.39,2148.39
284,5,36036.51,1115.67,36553.66,2,37204.11,597.75,1243.78,1131.30
285,37,7810.46,1172.73,8334.26,4,9035.92,128.65,1252.55,1174.42
286,32,37912.22,1024.60,38316.62,1,38972.33,630.41,1190.19,1038.10
287,9,20031.19,1506.92,20512.73,3,21537.18,332.26,1209.60,1515.24
288,41,25272.33,1627.23,25749.23,8,27032.49,419.32,1199.85,1638.48
289,35,66821.62,1054.48,67227.00,4,67917.32,1112.07,1275.43,1063.09
290,19,6630.45,466.62,6954.09,0,7093.62,108.76,1231.84,475.17
291,48,71637.49,1638.77,72016.45,9,73414.20,1191.72,1221.13,1661.87
292,16,37102.11,1077.41,37583.05,3,38153.78,615.84,1244.70,1084.98
293,3,51648.19,1884.23,52072.42,6,53614.71,858.33,1201.25,1914.21
294,20,7903.68,494.10,8217.37,1,8482.94,129.10,1228.61,522.64
295,24,29211.69,1426.06,29892.62,3,30715.92,485.80,1273.36,1438.70
296,33,7815.89,1098.90,8304.02,2,8868.43,129.17,1210.49,1099.76
297,24,83232.10,1388.04,83704.35,4,84580.05,1384.62,1273.36,1400.90
298,11,69871.38,1361.04,70174.69,5,71214.40,1162.46,1250.04,1371.66
299,49,39841.65,869.54,40441.34,5,40827.47,661.87,1228.05,874.81
300,8,19385.57,1069.55,20052.65,6,20444.61,321.99,1229.21,1090.64
301,36,80741.16,622.02,81261.01,3,81471.43,1344.18,1217.08,628.71
302,38,29909.75,1244.36,30348.53,3,31212.76,496.22,1246.01,1254.45
303,40,14072.16,1097.40,14546.89,3,15114.49,231.82,1223.21,1114.82
304,20,48827.44,1422.54,49266.34,8,50457.72,810.96,1228.61,1439.12
305,35,81662.13,1005.87,82071.84,3,82758.50,1359.03,1275.43,1018.66
306,48,456.39,1300.09,900.68,4,1707.92,5.52,1221.13,1323.27
307,25,20733.95,989.13,21276.82,3,21772.87,342.90,1205.71,999.20
308,35,81206.39,1040.67,81730.86,3,82244.74,1351.36,1275.43,-1.00
309,25,14903.85,925.08,15676.23,3,15804.98,246.36,1205.71,938.89
310,29,9952.84,710.17,10582.51,0,10698.14,163.07,1212.03,714.01
311,18,49418.97,1279.62,49658.91,4,50781.86,821.07,1204.49,-1.00
312,46,74632.40,2063.25,75209.31,13,76955.79,1241.06,1205.78,2069.98
313,18,41308.48,1280.51,42118.00,2,42560.34,687.04,1204.49,1308.12
314,2,86053.28,1340.96,86662.61,5,87396.91,1432.17,1225.11,-1.00
315,35,58841.53,839.82,59236.81,2,59684.03,978.01,1275.43,860.88
316,16,6473.41,1148.11,7061.12,3,7709.92,106.67,1244.70,1174.73
317,41,85936.06,866.86,86381.27,0,86832.24,1429.68,1199.85,884.08
318,36,35324.02,1236.77,35674.64,2,36568.34,587.37,1217.08,1238.12
319,33,24988.55,1204.23,25485.66,4,26277.72,413.86,1210.49,1206.12
320,4,48334.20,1661.45,48978.60,10,50276.03,803.35,1206.64,1666.34
321,33,26375.36,1044.06,27000.72,4,27417.70,438.20,1210.49,1054.58
322,14,7586.73,1493.71,8040.76,4,9197.79,124.50,1223.04,1500.12
323,21,265.24,885.53,682.68,5,1187.20,2.06,1229.07,887.80
324,48,38980.06,1338.18,39642.98,5,40269.39,647.40,1221.13,1350.05
325,20,72416.27,1498.82,73047.30,5,73920.92,1205.08,1228.61,1525.51
326,8,49615.96,1480.29,50052.29,5,51134.21,824.13,1229.21,1502.36
327,7,86453.82,889.98,86853.33,3,87432.57,1438.86,1210.21,906.81
328,3,24904.25,808.41,25396.12,2,25780.32,413.06,1201.25,831.94
329,17,24298.79,818.55,24692.63,2,25093.25,403.86,1259.72,828.38
330,33,13973.01,1179.05,14638.18,3,15168.32,230.04,1210.49,1206.79
331,48,14256.35,1202.53,14708.89,2,15416.58,236.25,1221.13,1217.92
332,12,24763.52,1005.15,25455.23,6,25866.59,410.67,1166.39,1020.70
333,22,68657.81,1280.50,69017.70,4,69878.98,1141.69,1222.09,1291.05
334,22,78343.24,1715.37,78697.80,9,80225.54,1304.29,1222.09,1732.30
335,46,84370.82,1086.71,84859.62,2,85534.75,1404.13,1205.78,1114.69
336,30,20158.71,1075.64,20658.59,2,21178.32,334.50,1177.83,1078.92
337,38,76295.27,1624.53,76772.59,7,78169.59,1269.07,1246.01,1637.41
338,38,28488.96,623.68,28871.95,3,29170.42,472.69,1246.01,642.01
339,45,9912.14,807.52,10365.74,0,10739.84,162.49,1237.68,817.19
340,8,75337.50,1359.61,75757.74,13,76842.56,1252.84,1229.21,1382.04
341,27,55097.37,1265.72,55379.48,2,56358.80,915.99,1274.00,1269.65
342,27,14379.80,992.53,14795.92,3,15348.16,237.21,1274.00,1013.15
343,34,37263.33,1182.82,37706.22,4,38387.22,618.96,1231.68,1195.71
344,21,24925.20,1145.04,25224.40,2,26076.43,413.65,1229.07,1145.34
345,30,63796.82,1185.74,64383.27,1,65084.99,1060.98,1177.83,1215.42
346,33,39344.16,736.95,40027.12,2,40107.43,652.92,1210.49,747.15
347,28,85583.79,1325.23,86068.52,4,86957.12,1424.56,1238.69,1339.68
348,47,4827.70,951.99,5145.75,3,5889.14,78.83,1239.46,954.23
