order_id,merchant_id,confirm_time,true_kpt,rider_arrival_time,restaurent_load,for_time,order_time
3258,193,1772299536.00,1321.00,1772300744.00,0.69,1772300829.65,18.00
840,24,1772299554.00,1297.00,1772300762.00,0.65,1772305697.77,18.00
4585,167,1772299605.00,1289.00,1772301023.00,0.15,1772305728.48,19.00
2696,137,1772299628.00,1313.00,1772301038.00,0.17,1772318451.33,20.00
64,9,1772299637.00,1606.00,1772301270.00,0.25,1772301299.12,20.00
3189,12,1772299657.00,1515.00,1772301269.00,0.43,1772301251.60,20.00
4587,176,1772299683.00,1417.00,1772301392.00,0.51,1772301179.32,21.00
2017,11,1772299702.00,1901.00,1772301584.00,0.67,1772301667.01,21.00
3587,125,1772299727.00,1499.00,1772301368.00,0.65,1772301448.25,21.00
4048,38,1772299728.00,1379.00,1772301265.00,0.17,1772301140.92,21.00
2153,123,1772299730.00,1440.00,1772301176.00,0.40,1772301233.24,21.00
3582,124,1772299734.00,1490.00,1772301468.00,0.26,1772301501.69,21.00
4185,1,1772299753.00,1473.00,1772301396.00,0.20,1772310383.33,22.00
4694,196,1772299759.00,1067.00,1772300992.00,0.17,1772300860.80,22.00
2402,75,1772299777.00,1451.00,1772301398.00,0.33,1772301439.37,22.00
180,76,1772299788.00,1029.00,1772300786.00,0.12,1772315208.53,22.00
3781,168,1772299815.00,1157.00,1772300980.00,0.11,1772300995.33,23.00
3226,190,1772299824.00,1825.00,1772301609.00,0.69,1772301744.80,23.00
4548,157,1772299861.00,1754.00,1772301568.00,0.65,1772320488.72,23.00
1426,56,1772299864.00,1355.00,1772301323.00,0.47,1772301381.65,24.00
584,74,1772299864.00,1248.00,1772301255.00,0.26,1772301158.84,24.00
4529,134,1772299914.00,1482.00,1772301391.00,0.19,1772309813.44,24.00
1969,79,1772299967.00,1721.00,1772301576.00,0.58,1772301647.49,25.00
4208,184,1772300043.00,1557.00,1772301703.00,0.30,1772301657.24,27.00
1605,81,1772300044.00,1202.00,1772301234.00,0.49,1772323441.64,27.00
4591,45,1772300062.00,1022.00,1772301335.00,0.18,1772301116.60,27.00
2583,80,1772300132.00,1562.00,1772301778.00,0.35,1772301758.52,28.00
2824,15,1772300142.00,1353.00,1772301670.00,0.38,1772301561.00,28.00
1666,43,1772300145.00,1416.00,1772301535.00,0.16,1772302490.32,28.00
930,121,1772300171.00,1418.00,1772301852.00,0.38,1772301659.36,29.00
623,41,1772300175.00,1325.00,1772301742.00,0.29,1772306735.16,29.00
2183,27,1772300179.00,1145.00,1772301547.00,0.35,1772301591.25,29.00
4948,43,1772300191.00,1130.00,1772301235.00,0.24,1772302490.32,29.00
2704,116,1772300210.00,1501.00,1772301892.00,0.36,1772301937.21,29.00
3662,98,1772300219.00,1623.00,1772301859.00,0.29,1772314320.16,29.00
1870,100,1772300262.00,1245.00,1772301776.00,0.44,1772318394.88,30.00
3001,51,1772300271.00,1341.00,1772301777.00,0.67,1772301710.16,30.00
248,147,1772300273.00,1581.00,1772302068.00,0.17,1772301883.80,30.00
2589,163,1772300276.00,1175.00,1772301476.00,0.44,1772301530.04,30.00
1990,107,1772300289.00,1800.00,1772302211.00,0.61,1772302191.44,31.00
4770,11,1772300336.00,1372.00,1772301657.00,0.23,1772301687.09,31.00
2844,5,1772300376.00,1312.00,1772301833.00,0.48,1772301892.49,32.00
2178,78,1772300389.00,1413.00,1772301740.00,0.55,1772307745.01,32.00
1422,97,1772300424.00,1521.00,1772301848.00,0.26,1772302003.20,33.00
3894,71,1772300435.00,1577.00,1772301970.00,0.22,1772301998.65,33.00
1117,26,1772300468.00,1617.00,1772302259.00,0.33,1772302301.33,34.00
4033,78,1772300482.00,1412.00,1772302092.00,0.33,1772307745.01,34.00
679,13,1772300490.00,1168.00,1772301949.00,0.38,1772301721.08,34.00
4247,74,1772300521.00,1322.00,1772302073.00,0.54,1772301927.16,34.00
528,121,1772300524.00,1104.00,1772301548.00,0.29,1772301681.32,35.00
2015,21,1772300530.00,1330.00,1772301877.00,0.62,1772301954.13,35.00
552,142,1772300567.00,1319.00,1772301973.00,0.21,1772301924.80,35.00
4891,6,1772300589.00,1374.00,1772302189.00,0.63,1772302055.48,36.00
53,85,1772300592.00,1299.00,1772301868.00,0.48,1772301970.84,36.00
4004,133,1772300598.00,1739.00,1772302463.00,0.59,1772302535.69,36.00
1034,64,1772300606.00,1586.00,1772302149.00,0.26,1772302233.20,36.00
1858,199,1772300607.00,1317.00,1772302148.00,0.44,1772302203.41,36.00
824,103,1772300621.00,1177.00,1772301715.00,0.21,1772301742.57,36.00
1788,160,1772300640.00,1315.00,1772301926.00,0.68,1772302010.09,36.00
566,64,1772300666.00,1225.00,1772301997.00,0.18,1772301937.72,37.00
352,175,1772300682.00,1188.00,1772301951.00,0.30,1772301916.60,37.00
2192,31,1772300685.00,1183.00,1772301947.00,0.35,1772317729.61,37.00
336,44,1772300757.00,1081.00,1772301731.00,0.29,1772301895.32,38.00
1381,192,1772300782.00,1305.00,1772302065.00,0.44,1772308479.68,39.00
3055,143,1772300788.00,1546.00,1772302307.00,0.22,1772302382.76,39.00
795,92,1772300808.00,1123.00,1772302086.00,0.33,1772315872.80,39.00
161,30,1772300811.00,1642.00,1772302335.00,0.46,1772302391.85,39.00
42,114,1772300814.00,1216.00,1772302160.00,0.29,1772302197.17,39.00
3279,10,1772300815.00,1468.00,1772302264.00,0.40,1772302314.25,39.00
4105,58,1772300823.00,1235.00,1772301971.00,0.44,1772302122.04,40.00
2370,80,1772300828.00,1340.00,1772302287.00,0.16,1772302212.32,40.00
3620,67,1772300830.00,1167.00,1772301926.00,0.27,1772301960.53,40.00
2909,22,1772300839.00,1728.00,1772302702.00,0.45,1772302636.52,40.00
1585,20,1772300850.00,1107.00,1772301954.00,0.13,1772301999.48,40.00
291,20,1772300853.00,1763.00,1772302745.00,0.68,1772302716.72,40.00
2521,113,1772300918.00,1177.00,1772302125.00,0.32,1772302162.76,41.00
4349,164,1772300924.00,1328.00,1772302288.00,0.19,1772302291.56,41.00
3164,37,1772300959.00,1403.00,1772302472.00,0.31,1772302409.08,42.00
2562,174,1772300964.00,1410.00,1772302455.00,0.69,1772308906.16,42.00
3337,36,1772300989.00,1070.00,1772302249.00,0.24,1772302099.44,42.00
4628,53,1772300996.00,1559.00,1772302617.00,0.58,1772315687.44,42.00
467,110,1772301003.00,1464.00,1772302391.00,0.56,1772302560.44,43.00
2604,116,1772301013.00,1352.00,1772302451.00,0.60,1772302524.89,43.00
2435,12,1772301032.00,1496.00,1772302494.00,0.64,1772302625.68,43.00
1920,57,1772301050.00,1210.00,1772302548.00,0.38,1772302331.84,43.00
1854,187,1772301050.00,1526.00,1772302628.00,0.43,1772302682.45,43.00
4778,54,1772301088.00,1769.00,1772303146.00,0.55,1772302939.48,44.00
3644,18,1772301097.00,1401.00,1772302504.00,0.40,1772322831.89,44.00
3821,40,1772301114.00,1651.00,1772302827.00,0.60,1772302900.77,44.00
4914,64,1772301117.00,1028.00,1772302035.00,0.18,1772302190.08,44.00
3123,46,1772301128.00,1323.00,1772302582.00,0.36,1772302627.21,45.00
4515,166,1772301163.00,1322.00,1772302410.00,0.38,1772302556.36,45.00
2548,34,1772301177.00,1605.00,1772302894.00,0.66,1772318847.72,45.00
752,126,1772301206.00,1124.00,1772302236.00,0.20,1772302380.48,46.00
2839,166,1772301299.00,1610.00,1772303111.00,0.33,1772302974.00,47.00
3379,65,1772301314.00,1683.00,1772303169.00,0.36,1772309098.65,48.00
1548,125,1772301319.00,1176.00,1772302533.00,0.19,1772302529.44,48.00
2278,172,1772301337.00,1450.00,1772302865.00,0.53,1772302875.48,48.00
2731,83,1772301359.00,1404.00,1772302992.00,0.30,1772303030.61,48.00
2526,158,1772301383.00,1753.00,1772303292.00,0.69,1772303232.20,49.00
2216,86,1772301413.00,1101.00,1772302686.00,0.23,1772302715.37,49.00
3748,21,1772301414.00,1812.00,1772303178.00,0.54,1772303244.93,49.00
2338,200,1772301424.00,1457.00,1772302971.00,0.67,1772302976.88,50.00
319,96,1772301431.00,1281.00,1772302874.00,0.26,1772302767.60,50.00
2298,35,1772301433.00,1731.00,1772303400.00,0.56,1772304142.96,50.00
1108,182,1772301459.00,1690.00,1772303340.00,0.45,1772303214.36,50.00
2226,85,1772301464.00,1713.00,1772303350.00,0.58,1772303421.37,50.00
2981,42,1772301483.00,1021.00,1772302489.00,0.11,1772302504.33,51.00
3705,103,1772301484.00,1029.00,1772302805.00,0.10,1772302553.24,51.00
1771,147,1772301486.00,1541.00,1772303033.00,0.52,1772303097.89,51.00
617,123,1772301528.00,1571.00,1772303169.00,0.67,1772303206.80,51.00
213,164,1772301538.00,1191.00,1772302982.00,0.33,1772302792.08,51.00
1120,93,1772301538.00,1538.00,1772303320.00,0.64,1772303172.80,51.00
3697,30,1772301589.00,1073.00,1772302607.00,0.27,1772302641.65,52.00
4886,156,1772301593.00,1059.00,1772302726.00,0.23,1772302700.48,52.00
4186,103,1772301601.00,1398.00,1772303075.00,0.70,1772303107.76,52.00
3895,148,1772301618.00,1524.00,1772303093.00,0.67,1772303175.41,53.00
4539,3,1772301649.00,1491.00,1772303283.00,0.32,1772303198.04,53.00
692,128,1772301691.00,1354.00,1772302973.00,0.51,1772303131.44,54.00
337,158,1772301700.00,1674.00,1772303469.00,0.31,1772303431.44,54.00
2186,44,1772301740.00,1376.00,1772303212.00,0.12,1772303155.28,55.00
2626,82,1772301786.00,1448.00,1772303380.00,0.22,1772315910.72,56.00
2132,177,1772301795.00,1389.00,1772303070.00,0.25,1772303241.24,56.00
4635,193,1772301816.00,1611.00,1772303622.00,0.27,1772303484.28,56.00
631,179,1772301823.00,1410.00,1772303181.00,0.37,1772303227.41,56.00
1141,144,1772301858.00,1261.00,1772303152.00,0.47,1772303199.52,57.00
4391,183,1772301894.00,1495.00,1772303433.00,0.30,1772303450.88,57.00
33,155,1772301931.00,1070.00,1772303225.00,0.15,1772309559.97,58.00
4762,136,1772301932.00,1303.00,1772303423.00,0.14,1772303269.04,58.00
2576,144,1772301937.00,1389.00,1772303340.00,0.34,1772303383.65,58.00
1112,179,1772301953.00,1261.00,1772303173.00,0.49,1772303301.40,58.00
1359,75,1772302088.00,1298.00,1772303446.00,0.46,1772303503.21,61.00
1983,72,1772302101.00,1626.00,1772303971.00,0.63,1772303831.72,61.00
1976,38,1772302101.00,1659.00,1772303733.00,0.57,1772303803.65,61.00
2631,85,1772302102.00,1783.00,1772304055.00,0.63,1772304132.97,61.00
3347,132,1772302102.00,1506.00,1772303858.00,0.67,1772303713.28,61.00
4299,89,1772302165.00,1806.00,1772304147.00,0.59,1772304061.44,62.00
2171,160,1772302170.00,1482.00,1772303924.00,0.12,1772303682.00,62.00
4359,74,1772302178.00,1879.00,1772304300.00,0.68,1772304163.36,62.00
3796,96,1772302192.00,1798.00,1772304176.00,0.69,1772304090.32,62.00
2097,71,1772302228.00,1643.00,1772303934.00,0.64,1772303963.20,63.00
544,96,1772302232.00,1678.00,1772304123.00,0.35,1772303963.76,63.00
4846,58,1772302233.00,1458.00,1772303793.00,0.24,1772303734.32,63.00
2208,121,1772302269.00,1276.00,1772303620.00,0.57,1772303639.52,64.00
2936,175,1772302269.00,1462.00,1772303976.00,0.37,1772303789.28,64.00
1260,180,1772302274.00,1534.00,1772304035.00,0.58,1772303903.48,64.00
3770,193,1772302299.00,1751.00,1772304031.00,0.49,1772304135.28,64.00
1966,171,1772302312.00,1153.00,1772303724.00,0.34,1772303528.80,64.00
4735,27,1772302315.00,1284.00,1772303654.00,0.35,1772303650.64,64.00
3850,62,1772302357.00,1609.00,1772304114.00,0.49,1772304035.68,65.00
2930,75,1772302363.00,1144.00,1772303574.00,0.34,1772303616.45,65.00
3170,195,1772302371.00,1342.00,1772303711.00,0.48,1772303770.73,65.00
2195,127,1772302377.00,1476.00,1772304107.00,0.38,1772303922.60,65.00
158,21,1772302400.00,1186.00,1772303681.00,0.28,1772303644.00,66.00
3574,83,1772302414.00,1780.00,1772304137.00,0.58,1772304208.37,66.00
4755,108,1772302426.00,1300.00,1772303981.00,0.44,1772312523.33,66.00
244,118,1772302433.00,1876.00,1772304599.00,0.64,1772304405.92,66.00
2809,178,1772302434.00,1601.00,1772304252.00,0.28,1772304081.60,66.00
3807,14,1772302435.00,1602.00,1772304184.00,0.33,1772304086.60,66.00
1040,64,1772302445.00,1205.00,1772303541.00,0.13,1772303682.96,67.00
4482,35,1772302446.00,1422.00,1772303841.00,0.67,1772303960.76,67.00
2399,65,1772302467.00,1566.00,1772304139.00,0.18,1772309098.65,67.00
2425,34,1772302485.00,1138.00,1772303909.00,0.18,1772318847.72,67.00
3184,186,1772302500.00,1470.00,1772304159.00,0.46,1772321533.65,67.00
4954,138,1772302510.00,1084.00,1772303829.00,0.13,1772303846.85,68.00
4509,56,1772302529.00,1390.00,1772303808.00,0.52,1772303872.05,68.00
4182,74,1772302538.00,1461.00,1772304156.00,0.32,1772304060.40,68.00
425,182,1772302544.00,1288.00,1772303912.00,0.31,1772303881.44,68.00
746,159,1772302546.00,1110.00,1772303588.00,0.20,1772303614.85,68.00
3787,148,1772302573.00,1667.00,1772304260.00,0.56,1772304329.33,69.00
3434,95,1772302582.00,1025.00,1772303740.00,0.14,1772303642.20,69.00
4140,125,1772302614.00,1561.00,1772304440.00,0.18,1772304220.08,69.00
2514,93,1772302644.00,1216.00,1772304053.00,0.42,1772303933.52,70.00
14,57,1772302653.00,1463.00,1772304275.00,0.56,1772304344.93,70.00
1280,42,1772302676.00,1123.00,1772304045.00,0.21,1772303852.20,70.00
4280,156,1772302685.00,1281.00,1772304225.00,0.58,1772304057.96,71.00
3063,41,1772302688.00,1623.00,1772304209.00,0.23,1772306735.16,71.00
3462,126,1772302704.00,1668.00,1772304377.00,0.68,1772304460.49,71.00
1772,183,1772302718.00,1433.00,1772304411.00,0.32,1772304205.80,71.00
4859,86,1772302724.00,1520.00,1772304329.00,0.41,1772304308.84,71.00
4614,190,1772302734.00,1287.00,1772304152.00,0.43,1772304205.37,71.00
821,111,1772302750.00,1326.00,1772304234.00,0.53,1772304299.97,72.00
2140,28,1772302756.00,1856.00,1772304500.00,0.64,1772304578.57,72.00
4010,177,1772302771.00,1704.00,1772304449.00,0.62,1772304566.00,72.00
1895,71,1772302782.00,1258.00,1772304052.00,0.54,1772304133.44,72.00
4761,49,1772302785.00,1315.00,1772304002.00,0.36,1772310955.24,72.00
4502,110,1772302786.00,1544.00,1772304580.00,0.27,1772304390.28,72.00
4035,66,1772302788.00,1015.00,1772304087.00,0.13,1772304104.73,72.00
3350,33,1772302812.00,1380.00,1772304288.00,0.30,1772304254.52,73.00
197,158,1772302818.00,1401.00,1772304422.00,0.17,1772304260.92,73.00
4949,178,1772302869.00,1479.00,1772304554.00,0.16,1772304384.20,74.00
463,108,1772302889.00,1682.00,1772304482.00,0.41,1772312523.33,74.00
2025,55,1772302953.00,1264.00,1772304447.00,0.44,1772318647.64,75.00
1275,12,1772302960.00,1225.00,1772304323.00,0.33,1772304249.96,75.00
2190,152,1772303017.00,1344.00,1772304482.00,0.27,1772304420.16,76.00
2488,170,1772303029.00,1071.00,1772304260.00,0.24,1772327494.85,76.00
1872,61,1772303030.00,1143.00,1772304249.00,0.19,1772304208.68,76.00
3685,155,1772303041.00,1588.00,1772304552.00,0.57,1772309559.97,76.00
2940,77,1772303055.00,1674.00,1772304934.00,0.30,1772310253.84,77.00
204,198,1772303090.00,1713.00,1772304953.00,0.60,1772305027.01,77.00
3132,173,1772303123.00,1494.00,1772304902.00,0.59,1772304712.92,78.00
4412,44,1772303152.00,1433.00,1772304837.00,0.18,1772304861.33,78.00
1652,48,1772303198.00,1408.00,1772304829.00,0.31,1772304661.68,79.00
4984,58,1772303199.00,1461.00,1772304893.00,0.25,1772304925.25,79.00
2024,180,1772303210.00,1069.00,1772304480.00,0.27,1772304514.89,79.00
1136,47,1772303216.00,1395.00,1772304868.00,0.14,1772304638.80,79.00
2745,167,1772303218.00,1526.00,1772304632.00,0.50,1772305728.48,79.00
891,101,1772303220.00,1223.00,1772304366.00,0.10,1772304479.12,79.00
2126,166,1772303272.00,1479.00,1772304798.00,0.47,1772304857.25,80.00
3459,57,1772303274.00,1684.00,1772304910.00,0.42,1772305034.04,80.00
724,24,1772303289.00,1488.00,1772304751.00,0.37,1772305697.77,81.00
982,146,1772303292.00,1319.00,1772304823.00,0.68,1772312014.84,81.00
3561,166,1772303297.00,1313.00,1772304534.00,0.38,1772304667.72,81.00
4196,24,1772303308.00,1209.00,1772304607.00,0.10,1772305697.77,81.00
214,94,1772303332.00,1584.00,1772305077.00,0.14,1772305096.41,81.00
662,23,1772303334.00,1337.00,1772304634.00,0.18,1772304716.48,81.00
2926,32,1772303349.00,1463.00,1772304726.00,0.66,1772304911.96,82.00
2261,12,1772303351.00,1352.00,1772304750.00,0.41,1772304765.72,82.00
2101,10,1772303351.00,1829.00,1772305400.00,0.55,1772305468.61,82.00
2492,197,1772303374.00,1426.00,1772305001.00,0.25,1772304859.24,82.00
2434,117,1772303393.00,1133.00,1772304820.00,0.36,1772304579.96,82.00
2641,174,1772303442.00,1113.00,1772304815.00,0.14,1772308906.16,83.00
2509,154,1772303457.00,1864.00,1772305411.00,0.69,1772305420.56,83.00
4888,2,1772303470.00,1109.00,1772304486.00,0.28,1772318610.20,84.00
915,91,1772303476.00,1402.00,1772304774.00,0.37,1772304820.41,84.00
2139,64,1772303483.00,1741.00,1772305512.00,0.65,1772305591.89,84.00
3122,179,1772303518.00,1332.00,1772305001.00,0.57,1772304930.28,84.00
3790,56,1772303551.00,1457.00,1772305292.00,0.69,1772305101.92,85.00
3709,51,1772303584.00,1711.00,1772305538.00,0.46,1772305595.09,86.00
4128,25,1772303600.00,1453.00,1772305073.00,0.36,1772305117.44,86.00
1363,180,1772303625.00,1248.00,1772305020.00,0.36,1772305065.69,86.00
1871,156,1772303634.00,1624.00,1772305468.00,0.44,1772305334.92,86.00
2205,62,1772303638.00,1623.00,1772305312.00,0.47,1772305344.52,86.00
1968,175,1772303639.00,1704.00,1772305398.00,0.35,1772305442.49,86.00
1629,41,1772303648.00,1103.00,1772304746.00,0.15,1772306735.16,87.00
2914,21,1772303650.00,1604.00,1772305504.00,0.20,1772305289.60,87.00
1692,192,1772303695.00,1660.00,1772305329.00,0.57,1772308479.68,87.00
4967,44,1772303705.00,1230.00,1772305148.00,0.51,1772305013.44,88.00
278,10,1772303735.00,1443.00,1772305155.00,0.35,1772305243.88,88.00
1209,105,1772303744.00,1646.00,1772305657.00,0.31,1772310381.05,88.00
4492,66,1772303755.00,1614.00,1772305552.00,0.57,1772305461.40,88.00
3445,163,1772303776.00,1297.00,1772305054.00,0.25,1772305127.48,89.00
2200,198,1772303794.00,1576.00,1772305447.00,0.22,1772305422.52,89.00
4748,32,1772303813.00,1225.00,1772305307.00,0.15,1772305077.12,89.00
3084,160,1772303817.00,1538.00,1772305379.00,0.25,1772305408.36,89.00
1116,56,1772303817.00,1348.00,1772305365.00,0.63,1772305442.73,89.00
227,105,1772303819.00,1568.00,1772305329.00,0.67,1772310381.05,89.00
1369,26,1772303844.00,1298.00,1772305341.00,0.49,1772305402.41,90.00
942,1,1772303861.00,1257.00,1772305395.00,0.38,1772310383.33,90.00
380,68,1772303884.00,1082.00,1772304969.00,0.16,1772312407.28,91.00
4862,159,1772303917.00,1580.00,1772305630.00,0.26,1772305547.20,91.00
823,88,1772303921.00,1577.00,1772305497.00,0.37,1772305543.41,91.00
4276,79,1772303946.00,1341.00,1772305182.00,0.58,1772305374.48,92.00
4975,154,1772303977.00,1587.00,1772305754.00,0.61,1772305829.45,92.00
2315,176,1772303988.00,1443.00,1772305359.00,0.47,1772305417.53,92.00
3590,184,1772304008.00,1533.00,1772305606.00,0.44,1772305622.44,93.00
359,109,1772304009.00,1583.00,1772305592.00,0.42,1772312227.69,93.00
3814,178,1772304009.00,1512.00,1772305510.00,0.44,1772305586.92,93.00
3238,175,1772304048.00,1198.00,1772305488.00,0.50,1772305331.64,93.00
3933,32,1772304052.00,1536.00,1772305623.00,0.38,1772305656.00,93.00
630,194,1772304077.00,1468.00,1772305620.00,0.52,1772305625.52,94.00
1730,142,1772304094.00,1237.00,1772305540.00,0.31,1772305579.93,94.00
941,188,1772304100.00,1403.00,1772305673.00,0.49,1772305587.40,94.00
3080,81,1772304112.00,1172.00,1772305270.00,0.35,1772323441.64,94.00
847,117,1772304124.00,1503.00,1772305658.00,0.16,1772305667.84,95.00
3605,24,1772304160.00,1298.00,1772305714.00,0.11,1772305497.56,95.00
3365,44,1772304177.00,1658.00,1772305741.00,0.27,1772305891.16,95.00
2409,79,1772304191.00,1126.00,1772305436.00,0.35,1772305480.01,96.00
4978,114,1772304198.00,1692.00,1772305853.00,0.57,1772305988.00,96.00
2335,14,1772304236.00,1370.00,1772305589.00,0.18,1772305645.12,96.00
3739,181,1772304274.00,1446.00,1772305921.00,0.67,1772308328.12,97.00
23,95,1772304286.00,1423.00,1772305993.00,0.50,1772305796.00,97.00
2855,190,1772304308.00,1294.00,1772305845.00,0.11,1772305635.56,98.00
2647,79,1772304318.00,1789.00,1772306249.00,0.56,1772306202.80,98.00
2241,56,1772304329.00,1441.00,1772305965.00,0.29,1772305833.68,98.00
1948,41,1772304333.00,1440.00,1772305943.00,0.34,1772306735.16,98.00
415,150,1772304345.00,1715.00,1772306233.00,0.67,1772306158.88,98.00
3515,184,1772304346.00,1316.00,1772305694.00,0.49,1772305744.56,98.00
2212,83,1772304348.00,1891.00,1772306123.00,0.69,1772306334.04,98.00
4861,158,1772304402.00,1534.00,1772306209.00,0.17,1772306231.89,99.00
4188,152,1772304403.00,1421.00,1772305843.00,0.53,1772305906.48,99.00
2179,176,1772304426.00,1633.00,1772306002.00,0.27,1772306115.92,100.00
1989,186,1772304431.00,1178.00,1772305580.00,0.12,1772321533.65,100.00
4981,110,1772304442.00,1807.00,1772306379.00,0.54,1772306337.44,100.00
546,69,1772304456.00,1302.00,1772305655.00,0.33,1772305810.08,100.00
4869,106,1772304463.00,1640.00,1772305994.00,0.28,1772306030.21,100.00
